iter	Passed	Remaining
0	136	136171
1	141	70765
2	146	48609
3	153	38229
4	159	31714
5	165	27393
6	170	24186
7	175	21761
8	181	19987
9	187	18573
10	193	17387
11	198	16359
12	201	15320
13	205	14485
14	209	13754
15	212	13066
16	214	12409
17	216	11801
18	217	11253
19	219	10772
20	221	10334
21	224	9966
22	227	9681
23	231	9399
24	232	9084
25	234	8796
26	236	8540
27	239	8301
28	241	8072
29	243	7872
30	245	7660
31	246	7462
32	248	7278
33	250	7104
34	252	6950
35	254	6824
36	257	6704
37	259	6570
38	261	6443
39	263	6321
40	264	6195
41	266	6090
42	270	6016
43	271	5903
44	273	5797
45	274	5694
46	275	5596
47	277	5502
48	278	5414
49	280	5330
50	283	5266
51	285	5204
52	287	5128
53	288	5055
54	289	4982
55	291	4914
56	292	4846
57	294	4787
58	297	4742
59	299	4691
60	300	4631
61	302	4574
62	303	4519
63	305	4465
64	306	4412
65	308	4361
66	309	4311
67	311	4266
68	313	4234
69	315	4187
70	316	4142
71	318	4100
72	319	4059
73	321	4021
74	323	3984
75	324	3949
76	326	3918
77	329	3896
78	331	3865
79	333	3835
80	335	3805
81	336	3771
82	337	3730
83	339	3697
84	340	3667
85	343	3650
86	344	3619
87	346	3594
88	348	3567
89	350	3540
90	351	3511
91	353	3485
92	354	3458
93	356	3436
94	358	3414
95	360	3391
96	361	3367
97	363	3342
98	364	3319
99	366	3302
100	368	3279
101	370	3261
102	373	3254
103	375	3234
104	377	3213
105	378	3193
106	380	3173
107	381	3153
108	383	3134
109	387	3131
110	389	3117
111	391	3105
112	393	3087
113	394	3069
114	396	3050
115	397	3032
116	399	3015
117	402	3009
118	405	3002
119	407	2985
120	408	2969
121	410	2951
122	411	2935
123	413	2918
124	415	2906
125	419	2907
126	421	2898
127	423	2886
128	425	2871
129	426	2856
130	428	2840
131	430	2829
132	434	2830
133	436	2821
134	439	2813
135	441	2801
136	444	2797
137	447	2793
138	449	2786
139	452	2778
140	454	2766
141	455	2750
142	456	2736
143	458	2727
144	461	2720
145	464	2716
146	466	2708
147	469	2701
148	471	2691
149	473	2681
150	475	2676
151	478	2669
152	480	2660
153	482	2648
154	483	2637
155	485	2625
156	486	2613
157	488	2604
158	491	2599
159	495	2599
160	496	2585
161	497	2575
162	499	2564
163	500	2553
164	503	2547
165	506	2545
166	509	2542
167	511	2534
168	513	2524
169	514	2514
170	516	2504
171	518	2497
172	521	2494
173	524	2490
174	526	2483
175	528	2474
176	530	2464
177	532	2456
178	534	2452
179	537	2447
180	539	2440
181	540	2431
182	543	2426
183	546	2421
184	549	2419
185	551	2414
186	553	2406
187	556	2402
188	557	2393
189	559	2384
190	560	2375
191	563	2372
192	566	2368
193	568	2362
194	571	2358
195	573	2352
196	575	2344
197	577	2340
198	580	2335
199	582	2330
200	584	2323
201	586	2318
202	588	2310
203	589	2301
204	592	2298
205	595	2293
206	597	2287
207	599	2281
208	600	2273
209	602	2265
210	603	2257
211	605	2250
212	608	2249
213	611	2244
214	613	2238
215	614	2231
216	616	2223
217	617	2215
218	618	2207
219	620	2201
220	623	2199
221	626	2196
222	629	2191
223	630	2185
224	632	2179
225	634	2172
226	638	2173
227	641	2170
228	643	2164
229	644	2158
230	646	2151
231	647	2144
232	649	2136
233	651	2133
234	654	2129
235	656	2123
236	657	2118
237	659	2112
238	661	2107
239	663	2100
240	665	2094
241	667	2092
242	670	2088
243	671	2081
244	673	2074
245	674	2067
246	675	2060
247	677	2053
248	678	2047
249	680	2041
250	683	2038
251	684	2033
252	686	2026
253	687	2020
254	689	2013
255	690	2007
256	692	2001
257	693	1994
258	695	1990
259	698	1986
260	699	1981
261	701	1975
262	703	1970
263	704	1964
264	706	1960
265	708	1954
266	710	1949
267	712	1946
268	713	1939
269	715	1933
270	716	1927
271	717	1921
272	719	1916
273	720	1910
274	722	1904
275	723	1898
276	726	1895
277	728	1892
278	729	1886
279	731	1880
280	732	1874
281	734	1868
282	735	1863
283	736	1858
284	738	1852
285	740	1847
286	742	1845
287	744	1839
288	745	1834
289	747	1828
290	748	1823
291	749	1817
292	751	1812
293	752	1807
294	754	1802
295	756	1800
296	758	1795
297	759	1789
298	761	1784
299	762	1779
300	764	1774
301	765	1769
302	766	1764
303	768	1759
304	770	1754
305	772	1752
306	774	1747
307	776	1745
308	778	1741
309	780	1737
310	782	1734
311	784	1729
312	787	1727
313	788	1722
314	790	1718
315	791	1713
316	793	1708
317	794	1704
318	796	1699
319	797	1694
320	798	1689
321	801	1687
322	803	1684
323	805	1679
324	806	1675
325	808	1670
326	809	1666
327	810	1661
328	812	1656
329	813	1652
330	816	1650
331	819	1648
332	821	1645
333	823	1641
334	824	1637
335	826	1632
336	827	1628
337	829	1623
338	832	1622
339	834	1619
340	836	1616
341	838	1612
342	839	1608
343	841	1604
344	843	1601
345	846	1599
346	848	1595
347	849	1591
348	850	1587
349	852	1582
350	853	1578
351	855	1574
352	856	1570
353	858	1565
354	860	1562
355	862	1560
356	864	1556
357	865	1552
358	867	1548
359	868	1543
360	869	1539
361	871	1535
362	872	1531
363	875	1529
364	877	1525
365	878	1521
366	879	1517
367	881	1513
368	882	1509
369	884	1505
370	885	1501
371	887	1497
372	890	1496
373	892	1493
374	894	1490
375	896	1487
376	897	1483
377	899	1480
378	901	1477
379	905	1477
380	907	1474
381	909	1470
382	910	1466
383	911	1462
384	914	1460
385	915	1456
386	916	1452
387	918	1449
388	921	1447
389	923	1445
390	925	1441
391	927	1438
392	929	1435
393	930	1431
394	932	1427
395	933	1423
396	936	1421
397	937	1417
398	938	1414
399	940	1410
400	941	1406
401	943	1403
402	944	1399
403	946	1395
404	947	1392
405	949	1388
406	951	1386
407	953	1382
408	954	1379
409	955	1375
410	957	1371
411	958	1368
412	960	1364
413	961	1361
414	963	1357
415	965	1356
416	967	1352
417	968	1348
418	970	1345
419	972	1342
420	973	1339
421	975	1335
422	976	1332
423	978	1328
424	980	1326
425	982	1324
426	984	1320
427	985	1317
428	987	1314
429	988	1310
430	990	1307
431	991	1303
432	993	1300
433	996	1299
434	997	1295
435	998	1292
436	1000	1288
437	1001	1285
438	1003	1281
439	1004	1278
440	1006	1275
441	1007	1271
442	1009	1269
443	1011	1266
444	1012	1263
445	1014	1259
446	1015	1256
447	1017	1253
448	1018	1250
449	1020	1246
450	1021	1243
451	1023	1240
452	1025	1238
453	1027	1236
454	1029	1233
455	1031	1230
456	1033	1227
457	1034	1224
458	1036	1221
459	1037	1218
460	1040	1216
461	1042	1214
462	1045	1212
463	1047	1209
464	1049	1207
465	1051	1205
466	1053	1202
467	1057	1202
468	1059	1199
469	1061	1197
470	1065	1196
471	1070	1197
472	1074	1197
473	1078	1196
474	1080	1194
475	1082	1191
476	1085	1190
477	1088	1188
478	1090	1185
479	1091	1182
480	1093	1180
481	1095	1177
482	1097	1174
483	1099	1172
484	1102	1170
485	1103	1167
486	1106	1165
487	1107	1162
488	1109	1159
489	1111	1156
490	1113	1154
491	1116	1153
492	1119	1150
493	1120	1148
494	1122	1145
495	1124	1143
496	1132	1146
497	1136	1145
498	1138	1143
499	1140	1140
500	1143	1139
501	1146	1137
502	1148	1135
503	1150	1132
504	1152	1129
505	1154	1127
506	1156	1124
507	1157	1121
508	1159	1118
509	1161	1116
510	1163	1113
511	1165	1110
512	1166	1107
513	1168	1104
514	1169	1101
515	1171	1098
516	1172	1095
517	1175	1093
518	1178	1091
519	1179	1089
520	1182	1086
521	1184	1084
522	1185	1081
523	1188	1079
524	1190	1077
525	1192	1074
526	1194	1072
527	1196	1069
528	1198	1066
529	1199	1064
530	1201	1061
531	1203	1058
532	1206	1056
533	1208	1054
534	1210	1051
535	1211	1048
536	1213	1046
537	1215	1043
538	1216	1040
539	1218	1037
540	1221	1036
541	1223	1033
542	1224	1030
543	1226	1027
544	1227	1024
545	1229	1022
546	1230	1019
547	1232	1016
548	1235	1014
549	1237	1012
550	1239	1009
551	1241	1007
552	1243	1005
553	1245	1002
554	1246	999
555	1249	997
556	1251	995
557	1252	992
558	1254	989
559	1256	987
560	1258	984
561	1259	981
562	1261	979
563	1264	977
564	1267	975
565	1269	973
566	1270	970
567	1272	967
568	1273	965
569	1275	962
570	1277	959
571	1279	957
572	1281	954
573	1282	952
574	1284	949
575	1286	946
576	1287	944
577	1289	941
578	1291	938
579	1293	936
580	1295	934
581	1297	931
582	1299	929
583	1302	927
584	1305	925
585	1307	923
586	1310	922
587	1311	919
588	1313	916
589	1315	913
590	1316	911
591	1318	908
592	1320	906
593	1321	903
594	1325	902
595	1327	900
596	1330	897
597	1332	895
598	1334	893
599	1336	891
600	1340	889
601	1343	888
602	1345	886
603	1349	884
604	1354	884
605	1359	883
606	1362	881
607	1365	880
608	1372	881
609	1374	878
610	1377	876
611	1380	875
612	1382	872
613	1386	871
614	1388	869
615	1391	867
616	1393	865
617	1395	862
618	1400	862
619	1403	860
620	1405	857
621	1408	855
622	1410	853
623	1412	851
624	1417	850
625	1419	848
626	1421	845
627	1423	843
628	1426	841
629	1428	839
630	1433	838
631	1436	836
632	1439	834
633	1441	832
634	1444	830
635	1448	828
636	1451	827
637	1454	825
638	1457	823
639	1462	822
640	1465	820
641	1468	819
642	1471	817
643	1476	816
644	1478	813
645	1480	811
646	1483	809
647	1485	806
648	1487	804
649	1491	803
650	1493	800
651	1495	798
652	1498	796
653	1500	793
654	1502	791
655	1506	790
656	1509	787
657	1511	785
658	1513	783
659	1515	780
660	1517	778
661	1522	777
662	1524	775
663	1527	772
664	1529	770
665	1532	768
666	1534	765
667	1539	765
668	1542	762
669	1544	760
670	1547	758
671	1549	756
672	1553	754
673	1556	752
674	1559	750
675	1561	748
676	1565	746
677	1568	744
678	1570	742
679	1615	760
680	1617	757
681	1625	757
682	1637	760
683	1646	760
684	1649	758
685	1654	757
686	1656	754
687	1658	752
688	1661	749
689	1663	747
690	1665	744
691	1666	741
692	1668	739
693	1672	737
694	1681	737
695	1687	736
696	1689	734
697	1690	731
698	1692	728
699	1694	726
700	1695	723
701	1697	720
702	1700	718
703	1702	715
704	1704	713
705	1706	710
706	1707	707
707	1709	705
708	1711	702
709	1713	699
710	1716	697
711	1718	695
712	1719	692
713	1721	689
714	1723	686
715	1725	684
716	1727	681
717	1729	679
718	1732	676
719	1733	674
720	1736	671
721	1738	669
722	1739	666
723	1741	663
724	1743	661
725	1747	659
726	1750	657
727	1753	654
728	1755	652
729	1757	649
730	1760	647
731	1762	645
732	1764	642
733	1765	639
734	1767	637
735	1769	634
736	1771	632
737	1773	629
738	1776	627
739	1778	624
740	1780	622
741	1781	619
742	1783	616
743	1785	614
744	1786	611
745	1788	608
746	1791	606
747	1793	604
748	1795	601
749	1798	599
750	1800	596
751	1802	594
752	1805	592
753	1807	589
754	1810	587
755	1812	585
756	1815	582
757	1816	580
758	1818	577
759	1822	575
760	1823	572
761	1825	570
762	1827	567
763	1829	564
764	1830	562
765	1832	559
766	1834	557
767	1837	555
768	1840	552
769	1842	550
770	1844	547
771	1846	545
772	1847	542
773	1849	539
774	1852	537
775	1853	535
776	1855	532
777	1857	529
778	1858	527
779	1860	524
780	1861	522
781	1863	519
782	1865	517
783	1867	514
784	1868	511
785	1870	509
786	1871	506
787	1873	503
788	1874	501
789	1875	498
790	1877	496
791	1879	493
792	1882	491
793	1884	488
794	1885	486
795	1887	483
